"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.6","...","1017.5","2021-12-01 09:23","1013.6","2021-12-01 00:01","18.2","23.0","2021-12-01 15:13","14.8","2021-12-01 23:53","...","59","47","2021-12-01 12:46","2.8","3","12.3","3","2021-12-01 01:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1016.6","...","1018.2","2021-12-02 22:31","1013.6","2021-12-02 14:45","18.2","25.6","2021-12-02 12:32","13.1","2021-12-02 04:21","...","65","34","2021-12-02 13:54","1.7","2","9.1","331","2021-12-02 16:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1017.1","...","1019.3","2021-12-03 23:31","1014.3","2021-12-03 14:53","18.2","25.9","2021-12-03 13:12","13.7","2021-12-03 05:42","...","61","29","2021-12-03 15:45","2.1","1","8.0","342","2021-12-03 16:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1018.1","...","1019.6","2021-12-04 08:51","1016.2","2021-12-04 14:02","18.3","24.7","2021-12-04 13:14","12.3","2021-12-04 04:51","...","57","35","2021-12-04 13:14","1.4","8","6.0","280","2021-12-04 14:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1017.2","...","1019.1","2021-12-05 08:23","1015.0","2021-12-05 14:59","19.6","25.7","2021-12-05 12:34","14.4","2021-12-05 05:31","...","66","33","2021-12-05 11:41","1.8","312","8.9","285","2021-12-05 15:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1015.3","...","1016.6","2021-12-06 09:01","1013.3","2021-12-06 15:02","19.8","26.0","2021-12-06 14:51","15.3","2021-12-06 05:41","...","80","45","2021-12-06 13:53","2.3","17","11.3","351","2021-12-06 11:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1016.7","...","1018.6","2021-12-07 23:36","1015.3","2021-12-07 02:46","20.8","26.8","2021-12-07 14:21","16.4","2021-12-07 05:44","...","74","45","2021-12-07 14:21","1.5","2","5.2","6","2021-12-07 11:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1018.8","...","1020.6","2021-12-08 09:02","1016.8","2021-12-08 15:35","20.5","26.2","2021-12-08 13:52","15.6","2021-12-08 05:45","...","71","47","2021-12-08 13:24","1.5","15","6.3","255","2021-12-08 14:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1018.4","...","1020.1","2021-12-09 09:01","1016.5","2021-12-09 15:44","21.2","26.6","2021-12-09 12:32","17.3","2021-12-09 05:12","...","76","44","2021-12-09 13:21","1.4","280","7.9","285","2021-12-09 15:33","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1017.2","...","1018.7","2021-12-10 09:21","1015.5","2021-12-10 15:11","21.4","26.2","2021-12-10 14:17","17.7","2021-12-10 02:37","...","78","43","2021-12-10 13:01","1.2","108","6.5","253","2021-12-10 12:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1017.6","...","1020.0","2021-12-11 08:41","1015.2","2021-12-11 14:41","21.8","27.5","2021-12-11 13:12","17.5","2021-12-11 06:33","...","75","42","2021-12-11 13:12","1.7","8","8.7","335","2021-12-11 16:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1017.2","...","1019.1","2021-12-12 09:02","1014.5","2021-12-12 14:52","21.0","27.9","2021-12-12 12:42","17.6","2021-12-12 06:13","...","81","38","2021-12-12 12:42","2.0","9","8.0","351","2021-12-12 16:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
