"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.8","...","1018.1","2020-12-01 08:23","1013.7","2020-12-01 14:21","22.3","28.0","2020-12-01 11:33","18.3","2020-12-01 06:37","...","74","50","2020-12-01 11:33","1.6","3","6.8","230","2020-12-01 13:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1013.9","...","1016.0","2020-12-02 08:12","1011.3","2020-12-02 15:14","22.6","28.6","2020-12-02 13:52","18.5","2020-12-02 06:56","...","70","45","2020-12-02 14:47","2.6","2","8.1","2","2020-12-02 11:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1013.7","...","1015.1","2020-12-03 08:22","1011.8","2020-12-03 14:45","20.6","25.2","2020-12-03 13:31","17.8","2020-12-03 23:57","...","66","48","2020-12-03 15:13","3.1","3","10.2","7","2020-12-03 16:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1013.8","...","1016.0","2020-12-04 09:03","1011.5","2020-12-04 14:41","20.4","26.1","2020-12-04 14:11","17.7","2020-12-04 02:42","...","71","54","2020-12-04 14:11","2.6","2","9.8","14","2020-12-04 19:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1014.7","...","1016.5","2020-12-05 08:32","1012.7","2020-12-05 14:25","21.3","26.7","2020-12-05 13:16","18.0","2020-12-05 04:44","...","71","51","2020-12-05 13:16","2.1","4","8.6","9","2020-12-05 21:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1014.3","...","1015.7","2020-12-06 08:04","1012.2","2020-12-06 15:41","21.9","27.3","2020-12-06 15:11","17.7","2020-12-06 06:22","...","77","55","2020-12-06 15:11","1.8","8","7.3","1","2020-12-06 01:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1014.7","...","1016.5","2020-12-07 08:43","1012.3","2020-12-07 14:14","23.0","28.7","2020-12-07 13:44","20.0","2020-12-07 05:31","...","79","55","2020-12-07 13:49","2.2","3","7.8","325","2020-12-07 17:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1014.1","...","1016.5","2020-12-08 09:54","1012.1","2020-12-08 14:55","21.2","25.5","2020-12-08 14:01","18.8","2020-12-08 22:59","...","83","64","2020-12-08 14:11","2.6","1","10.2","9","2020-12-08 17:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1013.0","...","1014.8","2020-12-09 09:11","1010.8","2020-12-09 15:17","21.2","25.1","2020-12-09 14:25","18.7","2020-12-09 03:01","...","86","73","2020-12-09 14:28","2.0","3","8.3","17","2020-12-09 01:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1012.5","...","1014.1","2020-12-10 08:06","1010.1","2020-12-10 15:14","22.5","26.8","2020-12-10 13:42","20.3","2020-12-10 05:23","...","88","71","2020-12-10 13:43","2.1","3","8.9","353","2020-12-10 07:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1011.6","...","1013.7","2020-12-11 08:53","1009.0","2020-12-11 15:12","22.9","29.0","2020-12-11 14:24","20.1","2020-12-11 04:21","...","87","61","2020-12-11 15:12","1.8","10","8.0","354","2020-12-11 16:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1011.3","...","1013.2","2020-12-12 08:32","1008.8","2020-12-12 15:44","22.9","28.2","2020-12-12 14:13","20.3","2020-12-12 05:41","...","83","62","2020-12-12 14:53","1.8","5","6.8","336","2020-12-12 01:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1012.0","...","1014.3","2020-12-13 09:01","1009.7","2020-12-13 14:14","22.7","30.5","2020-12-13 13:32","19.2","2020-12-13 02:45","...","77","39","2020-12-13 13:41","1.7","8","7.5","3","2020-12-13 11:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1014.5","...","1016.8","2020-12-14 23:52","1012.5","2020-12-14 01:01","21.3","26.5","2020-12-14 14:11","17.3","2020-12-14 23:56","...","79","57","2020-12-14 14:11","2.5","4","9.7","11","2020-12-14 20:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1017.1","...","1019.0","2020-12-15 08:52","1014.8","2020-12-15 14:53","19.6","26.0","2020-12-15 12:42","16.1","2020-12-15 04:48","...","75","52","2020-12-15 12:43","2.5","7","9.8","345","2020-12-15 21:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1017.6","...","1019.8","2020-12-16 09:42","1015.5","2020-12-16 15:21","19.9","25.2","2020-12-16 15:18","16.6","2020-12-16 06:11","...","75","54","2020-12-16 14:23","2.2","1","8.8","11","2020-12-16 21:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1016.7","...","1018.5","2020-12-17 08:23","1014.3","2020-12-17 15:02","19.9","26.1","2020-12-17 13:06","16.3","2020-12-17 06:01","...","75","48","2020-12-17 13:55","2.0","4","6.6","323","2020-12-17 10:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1016.4","...","1017.8","2020-12-18 08:53","1013.5","2020-12-18 15:16","20.9","26.5","2020-12-18 14:12","17.8","2020-12-18 03:32","...","78","55","2020-12-18 13:56","2.9","4","9.3","1","2020-12-18 08:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1017.2","...","1018.8","2020-12-19 10:10","1014.8","2020-12-19 15:28","19.6","24.1","2020-12-19 15:25","16.5","2020-12-19 23:41","...","79","59","2020-12-19 15:37","3.4","2","11.3","360","2020-12-19 05:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1018.0","...","1020.1","2020-12-20 08:07","1015.7","2020-12-20 15:11","19.2","24.0","2020-12-20 13:03","16.1","2020-12-20 02:11","...","73","56","2020-12-20 13:11","2.7","1","8.8","360","2020-12-20 09:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1017.0","...","1019.0","2020-12-21 09:05","1016.0","2020-12-21 04:03","17.8","19.0","2020-12-21 14:31","16.6","2020-12-21 07:25","...","90","78","2020-12-21 00:01","1.7","11","6.3","18","2020-12-21 02:36","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1015.2","...","1017.5","2020-12-22 08:54","1013.0","2020-12-22 15:19","19.8","25.5","2020-12-22 13:23","16.2","2020-12-22 06:32","...","83","59","2020-12-22 13:41","2.0","1","8.1","344","2020-12-22 01:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1012.8","...","1012.8","2020-12-23 12:38","1010.5","2020-12-23 16:11","20.4","24.0","2020-12-23 14:51","18.6","2020-12-23 23:23","...","88","71","2020-12-23 14:51","2.7","1","10.8","8","2020-12-23 12:39","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1011.4","...","1013.6","2020-12-24 23:55","1009.0","2020-12-24 14:03","21.2","26.7","2020-12-24 13:51","18.2","2020-12-24 23:41","...","82","64","2020-12-24 10:11","3.0","1","10.6","20","2020-12-24 01:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1014.7","...","1016.8","2020-12-25 22:55","1012.2","2020-12-25 15:11","20.4","26.5","2020-12-25 13:52","17.2","2020-12-25 06:54","...","75","55","2020-12-25 13:59","2.0","7","7.1","10","2020-12-25 06:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1014.8","...","1017.5","2020-12-26 08:21","1011.6","2020-12-26 15:14","21.0","26.8","2020-12-26 13:31","16.2","2020-12-26 06:22","...","66","36","2020-12-26 12:43","2.6","3","11.2","1","2020-12-26 16:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1012.6","...","1014.5","2020-12-27 09:01","1010.1","2020-12-27 15:27","21.2","27.3","2020-12-27 14:11","17.5","2020-12-27 02:43","...","76","37","2020-12-27 13:31","2.3","6","9.2","179","2020-12-27 14:20","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1010.9","...","1012.5","2020-12-28 08:35","1008.7","2020-12-28 15:21","22.2","28.0","2020-12-28 13:41","18.5","2020-12-28 06:42","...","78","48","2020-12-28 12:42","1.8","12","6.3","1","2020-12-28 01:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1010.3","...","1012.2","2020-12-29 08:14","1008.0","2020-12-29 14:46","22.8","28.7","2020-12-29 12:41","19.3","2020-12-29 03:34","...","79","50","2020-12-29 12:41","2.2","6","9.1","1","2020-12-29 13:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1016.1","...","1020.3","2020-12-30 23:51","1011.3","2020-12-30 00:01","16.6","20.3","2020-12-30 00:01","12.1","2020-12-30 22:40","...","67","44","2020-12-30 23:51","4.1","3","16.0","6","2020-12-30 10:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","1021.3","...","1022.8","2020-12-31 09:05","1019.5","2020-12-31 14:41","12.0","13.5","2020-12-31 11:51","11.0","2020-12-31 07:03","...","54","44","2020-12-31 00:05","2.7","3","10.7","1","2020-12-31 03:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
