"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1006.3","...","1008.3","2021-04-01 08:54","1004.6","2021-04-01 15:43","27.1","30.5","2021-04-01 11:51","24.5","2021-04-01 05:11","...","78","56","2021-04-01 13:40","1.4","49","7.8","233","2021-04-01 15:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1007.8","...","1010.0","2021-04-02 09:22","1006.5","2021-04-02 02:41","27.3","31.3","2021-04-02 13:51","24.0","2021-04-02 05:44","...","78","54","2021-04-02 15:01","1.4","1","8.5","307","2021-04-02 13:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1009.0","...","1010.3","2021-04-03 09:03","1007.2","2021-04-03 15:21","26.7","31.1","2021-04-03 13:11","23.5","2021-04-03 06:01","...","77","53","2021-04-03 10:44","2.0","54","8.9","290","2021-04-03 11:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1010.4","...","1012.2","2021-04-04 23:03","1008.6","2021-04-04 15:01","26.2","31.2","2021-04-04 11:41","23.0","2021-04-04 23:52","...","72","48","2021-04-04 13:33","2.1","5","8.6","352","2021-04-04 15:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1013.5","...","1015.2","2021-04-05 08:04","1012.0","2021-04-05 00:41","23.6","27.5","2021-04-05 12:22","20.5","2021-04-05 06:21","...","66","56","2021-04-05 09:26","2.1","2","8.9","251","2021-04-05 14:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1014.2","...","1016.0","2021-04-06 21:51","1012.5","2021-04-06 15:31","23.1","26.5","2021-04-06 14:11","19.1","2021-04-06 06:35","...","65","55","2021-04-06 14:42","2.2","8","9.0","207","2021-04-06 10:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1012.9","...","1015.5","2021-04-07 00:01","1011.0","2021-04-07 16:27","23.1","26.0","2021-04-07 12:11","19.3","2021-04-07 04:47","...","73","64","2021-04-07 12:42","1.5","5","6.5","296","2021-04-07 13:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1011.1","...","1013.2","2021-04-08 22:13","1008.7","2021-04-08 16:32","23.5","28.8","2021-04-08 13:23","20.0","2021-04-08 23:31","...","75","51","2021-04-08 12:41","2.0","354","10.5","347","2021-04-08 22:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1013.1","...","1015.2","2021-04-09 23:07","1011.3","2021-04-09 02:51","21.9","26.5","2021-04-09 14:31","18.6","2021-04-09 23:53","...","70","52","2021-04-09 14:39","2.3","3","7.5","5","2021-04-09 06:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1015.4","...","1016.8","2021-04-10 07:17","1013.0","2021-04-10 15:51","22.5","29.5","2021-04-10 14:12","17.6","2021-04-10 05:46","...","71","47","2021-04-10 14:14","2.3","5","9.0","282","2021-04-10 16:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1015.8","...","1017.5","2021-04-11 08:02","1014.0","2021-04-11 16:21","23.8","29.2","2021-04-11 13:21","18.8","2021-04-11 05:48","...","72","46","2021-04-11 13:21","1.8","1","8.4","261","2021-04-11 14:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1013.8","...","1016.3","2021-04-12 07:54","1011.2","2021-04-12 16:04","24.7","29.5","2021-04-12 14:52","20.2","2021-04-12 04:41","...","72","44","2021-04-12 14:43","1.8","7","7.3","255","2021-04-12 13:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1011.6","...","1013.3","2021-04-13 08:15","1009.7","2021-04-13 15:21","26.1","30.0","2021-04-13 12:25","22.6","2021-04-13 03:42","...","74","56","2021-04-13 12:43","1.6","109","7.9","298","2021-04-13 14:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1010.8","...","1012.5","2021-04-14 09:21","1008.5","2021-04-14 15:52","25.8","30.5","2021-04-14 14:53","22.0","2021-04-14 23:55","...","73","49","2021-04-14 15:41","2.3","1","8.4","350","2021-04-14 04:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
