"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","996.0","...","997.5","2021-06-01 21:27","994.8","2021-06-01 03:30","26.3","31.6","2021-06-01 16:00","22.3","2021-06-01 00:11","...","87","62","2021-06-01 15:58","0.4","120","3.6","141","2021-06-01 18:24","8.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","996.5","...","998.1","2021-06-02 22:24","994.7","2021-06-02 16:02","27.9","34.6","2021-06-02 13:33","23.6","2021-06-02 04:42","...","80","51","2021-06-02 12:51","0.3","111","5.0","298","2021-06-02 10:36","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","994.7","...","997.1","2021-06-04 00:00","992.3","2021-06-03 16:03","29.7","35.6","2021-06-03 13:47","24.9","2021-06-03 05:56","...","73","47","2021-06-03 13:02","0.4","272","5.2","273","2021-06-03 09:16","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","992.8","...","993.9","2021-06-05 00:00","991.4","2021-06-04 14:40","27.4","32.5","2021-06-04 10:25","23.6","2021-06-04 16:37","...","86","58","2021-06-04 09:26","0.6","117","5.2","129","2021-06-04 14:52","55.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","992.3","...","994.3","2021-06-05 22:22","990.9","2021-06-05 15:08","24.6","27.2","2021-06-05 11:54","20.2","2021-06-05 21:55","...","94","84","2021-06-05 13:43","0.7","117","7.2","129","2021-06-05 19:24","30.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","994.8","...","998.0","2021-06-06 21:55","992.3","2021-06-06 03:37","23.0","24.5","2021-06-06 13:26","20.8","2021-06-06 00:01","...","96","91","2021-06-06 14:05","1.0","119","4.9","116","2021-06-06 03:56","13.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","998.2","...","1000.0","2021-06-07 22:52","996.5","2021-06-07 02:24","25.7","31.8","2021-06-07 12:01","22.4","2021-06-07 05:12","...","90","59","2021-06-07 11:51","0.8","115","4.2","117","2021-06-07 01:29","9.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","998.7","...","1000.3","2021-06-08 07:59","996.8","2021-06-08 15:02","28.3","34.5","2021-06-08 13:21","23.0","2021-06-08 04:32","...","77","48","2021-06-08 10:47","0.3","117","3.8","250","2021-06-08 15:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","997.2","...","999.0","2021-06-09 00:01","995.1","2021-06-09 17:45","28.6","33.4","2021-06-09 13:58","24.7","2021-06-09 05:02","...","75","52","2021-06-09 10:05","0.2","117","5.0","124","2021-06-09 11:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","995.6","...","997.2","2021-06-10 22:30","993.7","2021-06-10 16:22","29.0","34.2","2021-06-10 14:22","24.7","2021-06-10 04:36","...","70","45","2021-06-10 14:21","0.4","104","5.1","262","2021-06-10 12:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","996.5","...","998.9","2021-06-11 22:09","995.0","2021-06-11 16:06","29.4","34.2","2021-06-11 16:48","24.8","2021-06-11 05:52","...","67","45","2021-06-11 16:31","0.4","118","4.8","140","2021-06-11 12:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","998.6","...","1000.8","2021-06-12 22:38","997.2","2021-06-12 16:16","29.4","34.6","2021-06-12 12:26","24.1","2021-06-12 21:57","...","73","51","2021-06-12 11:39","0.3","271","6.3","227","2021-06-12 14:09","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","998.1","...","1000.4","2021-06-13 08:14","995.6","2021-06-13 16:39","29.2","34.1","2021-06-13 15:10","24.8","2021-06-13 04:21","...","74","54","2021-06-13 15:10","0.5","263","4.4","265","2021-06-13 13:57","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","994.3","...","996.9","2021-06-14 00:01","991.9","2021-06-14 16:57","30.3","34.8","2021-06-14 15:27","26.4","2021-06-14 05:12","...","65","48","2021-06-14 11:09","0.6","272","6.6","276","2021-06-14 17:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","991.9","...","993.0","2021-06-15 07:46","990.7","2021-06-15 16:57","30.6","34.1","2021-06-15 16:20","26.9","2021-06-15 05:57","...","65","51","2021-06-15 16:20","1.0","265","8.5","286","2021-06-15 14:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","993.1","...","994.7","2021-06-16 10:13","991.0","2021-06-16 02:13","31.2","35.6","2021-06-16 14:59","27.0","2021-06-16 05:12","...","59","43","2021-06-16 14:59","1.1","270","10.5","257","2021-06-16 13:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","994.4","...","995.8","2021-06-17 07:47","993.1","2021-06-17 14:15","31.4","35.8","2021-06-17 14:28","27.6","2021-06-17 05:02","...","61","47","2021-06-17 12:21","1.3","266","8.4","267","2021-06-17 15:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","993.1","...","994.9","2021-06-18 00:04","990.8","2021-06-18 15:55","31.7","36.4","2021-06-18 13:05","27.8","2021-06-18 03:14","...","60","40","2021-06-18 12:35","1.3","269","9.4","264","2021-06-18 08:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","991.0","...","992.8","2021-06-20 00:00","988.8","2021-06-19 16:26","31.9","36.1","2021-06-19 13:54","28.0","2021-06-19 05:55","...","57","42","2021-06-19 13:44","1.2","270","10.8","280","2021-06-19 15:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","989.9","...","991.1","2021-06-20 23:31","987.8","2021-06-20 16:48","31.3","35.5","2021-06-20 11:48","28.0","2021-06-20 05:36","...","61","46","2021-06-20 12:22","0.8","269","8.6","278","2021-06-20 12:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","990.6","...","993.0","2021-06-21 22:23","989.4","2021-06-21 15:42","30.3","33.7","2021-06-21 12:12","26.9","2021-06-21 23:52","...","66","50","2021-06-21 12:12","0.9","265","9.3","265","2021-06-21 12:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","993.1","...","995.7","2021-06-22 22:03","990.7","2021-06-22 02:02","26.6","31.3","2021-06-22 11:31","23.1","2021-06-22 21:55","...","88","58","2021-06-22 11:35","0.5","264","5.3","267","2021-06-22 12:47","25.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","995.7","...","997.8","2021-06-23 21:04","993.6","2021-06-23 03:33","24.8","28.4","2021-06-23 11:20","22.2","2021-06-23 19:44","...","91","71","2021-06-23 10:32","1.2","123","6.9","132","2021-06-23 16:32","16.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","995.8","...","996.9","2021-06-24 21:15","994.7","2021-06-24 17:04","25.2","28.8","2021-06-24 10:24","22.8","2021-06-24 01:55","...","91","72","2021-06-24 10:10","0.3","102","4.0","130","2021-06-24 09:05","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","995.5","...","996.8","2021-06-25 22:22","994.1","2021-06-25 16:25","25.7","28.5","2021-06-25 11:15","24.0","2021-06-25 04:51","...","91","74","2021-06-25 11:14","0.2","283","2.4","130","2021-06-25 10:43","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","995.3","...","996.8","2021-06-26 08:46","994.1","2021-06-26 16:05","28.5","33.6","2021-06-26 15:04","23.5","2021-06-26 05:58","...","73","51","2021-06-26 15:04","0.7","267","8.5","258","2021-06-26 15:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","993.7","...","995.8","2021-06-28 00:00","991.7","2021-06-27 16:11","30.6","35.0","2021-06-27 15:55","26.2","2021-06-27 01:55","...","62","45","2021-06-27 16:22","0.8","268","8.7","244","2021-06-27 08:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","992.2","...","993.4","2021-06-28 08:13","990.8","2021-06-28 15:55","30.1","34.2","2021-06-28 14:35","27.0","2021-06-28 05:56","...","61","44","2021-06-28 16:22","1.1","268","9.4","292","2021-06-28 10:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","993.0","...","994.3","2021-06-29 19:59","991.9","2021-06-29 15:44","30.3","34.2","2021-06-29 13:09","26.8","2021-06-29 08:02","...","62","46","2021-06-29 14:06","1.5","268","10.4","295","2021-06-29 14:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","994.1","...","995.1","2021-06-30 22:22","993.0","2021-06-30 16:03","30.1","33.9","2021-06-30 15:18","27.0","2021-06-30 05:55","...","67","53","2021-06-30 14:42","0.9","270","9.1","286","2021-06-30 12:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
