"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1011.6","...","1013.4","2021-12-01 08:03","1009.3","2021-12-01 14:41","15.3","17.6","2021-12-01 12:30","13.4","2021-12-01 06:35","...","57","45","2021-12-01 12:31","1.2","118","7.1","130","2021-12-01 03:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1009.7","...","1010.9","2021-12-02 09:06","1007.4","2021-12-02 14:52","15.4","19.3","2021-12-02 13:07","12.2","2021-12-02 06:51","...","73","57","2021-12-02 13:07","0.4","107","5.4","122","2021-12-02 12:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1010.9","...","1013.0","2021-12-03 21:39","1008.6","2021-12-03 13:35","14.9","19.9","2021-12-03 14:26","10.8","2021-12-03 05:35","...","61","36","2021-12-03 13:41","0.7","102","6.5","125","2021-12-03 15:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1011.3","...","1013.1","2021-12-04 08:45","1009.4","2021-12-04 14:39","16.3","20.2","2021-12-04 14:17","11.3","2021-12-04 05:51","...","59","37","2021-12-04 12:21","1.4","122","7.3","120","2021-12-04 11:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1009.2","...","1011.2","2021-12-05 08:50","1007.0","2021-12-05 14:55","18.2","22.3","2021-12-05 14:22","15.5","2021-12-05 06:36","...","79","59","2021-12-05 13:27","1.1","119","7.1","131","2021-12-05 12:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1008.2","...","1009.7","2021-12-06 20:02","1006.7","2021-12-06 14:26","18.6","22.2","2021-12-06 14:10","16.4","2021-12-06 05:21","...","89","65","2021-12-06 14:32","0.9","119","6.0","111","2021-12-06 10:36","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1011.1","...","1012.5","2021-12-07 20:41","1009.3","2021-12-07 02:05","17.5","19.6","2021-12-07 12:58","15.7","2021-12-07 07:12","...","77","57","2021-12-07 14:20","1.2","120","8.3","127","2021-12-07 12:40","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1011.2","...","1013.0","2021-12-08 08:58","1009.2","2021-12-08 14:29","19.2","23.1","2021-12-08 13:56","15.4","2021-12-08 05:42","...","63","41","2021-12-08 14:00","1.6","118","8.3","130","2021-12-08 11:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1009.6","...","1010.6","2021-12-09 08:52","1008.3","2021-12-09 14:00","20.6","23.2","2021-12-09 12:06","17.7","2021-12-09 06:35","...","73","59","2021-12-09 15:35","1.4","116","9.0","134","2021-12-09 12:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
