"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1000.2","...","1002.2","2021-05-02 00:00","998.4","2021-05-01 02:54","25.1","31.0","2021-05-01 12:06","19.9","2021-05-01 04:41","...","68","38","2021-05-01 11:27","0.5","113","4.5","274","2021-05-01 14:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1002.7","...","1004.4","2021-05-02 09:29","1001.2","2021-05-02 03:21","25.5","30.3","2021-05-02 12:43","20.8","2021-05-02 05:55","...","74","47","2021-05-02 12:32","1.2","114","8.4","115","2021-05-02 22:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1001.9","...","1003.5","2021-05-03 09:38","1000.8","2021-05-03 23:45","25.8","30.1","2021-05-03 12:49","22.7","2021-05-03 23:52","...","76","56","2021-05-03 12:50","1.0","113","6.9","123","2021-05-03 00:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","999.8","...","1001.6","2021-05-04 07:30","997.6","2021-05-04 16:11","27.0","32.3","2021-05-04 13:15","22.5","2021-05-04 00:35","...","72","48","2021-05-04 12:39","0.3","280","3.5","273","2021-05-04 13:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1003.1","...","1005.2","2021-05-05 22:14","999.5","2021-05-05 02:35","22.6","26.6","2021-05-06 00:00","17.5","2021-05-05 21:11","...","81","66","2021-05-05 15:58","1.5","117","8.2","127","2021-05-05 18:42","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1003.5","...","1005.1","2021-05-06 08:13","1001.9","2021-05-06 16:24","24.1","28.9","2021-05-06 13:59","18.9","2021-05-06 00:04","...","80","60","2021-05-06 10:41","0.8","117","5.8","123","2021-05-06 00:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1000.7","...","1002.7","2021-05-07 09:36","998.4","2021-05-07 17:02","27.1","31.9","2021-05-07 14:06","22.3","2021-05-07 05:01","...","72","53","2021-05-07 16:51","0.6","265","6.5","306","2021-05-07 11:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","998.6","...","999.7","2021-05-08 18:42","997.3","2021-05-08 15:12","25.3","28.8","2021-05-08 10:39","23.2","2021-05-08 17:55","...","86","71","2021-05-08 09:55","0.3","263","4.7","273","2021-05-08 11:32","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","998.0","...","999.9","2021-05-09 10:08","996.3","2021-05-09 16:37","26.4","31.1","2021-05-09 13:14","22.3","2021-05-09 05:22","...","78","59","2021-05-09 11:52","0.3","288","4.3","131","2021-05-09 12:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","997.3","...","998.9","2021-05-10 09:10","995.4","2021-05-10 17:18","27.8","31.7","2021-05-10 14:24","23.5","2021-05-10 05:55","...","74","56","2021-05-10 09:42","0.4","107","5.0","273","2021-05-10 14:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","996.4","...","998.2","2021-05-11 09:27","994.7","2021-05-11 17:38","28.7","34.0","2021-05-11 12:38","24.4","2021-05-11 03:31","...","72","51","2021-05-11 12:32","0.5","111","5.1","300","2021-05-11 14:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","996.9","...","998.9","2021-05-12 21:58","995.0","2021-05-12 15:00","29.6","35.6","2021-05-12 13:00","24.4","2021-05-12 05:57","...","65","41","2021-05-12 09:50","0.7","113","6.1","265","2021-05-12 14:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","997.8","...","999.3","2021-05-13 09:25","996.0","2021-05-13 17:01","29.5","34.6","2021-05-13 13:37","25.6","2021-05-13 04:35","...","69","49","2021-05-13 13:37","0.6","268","4.4","284","2021-05-13 14:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","998.3","...","1000.1","2021-05-14 08:14","997.0","2021-05-14 16:06","29.4","33.3","2021-05-14 15:12","25.6","2021-05-14 05:56","...","70","48","2021-05-14 16:50","0.5","112","4.5","266","2021-05-14 16:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","997.7","...","1000.0","2021-05-15 08:12","995.8","2021-05-15 17:30","29.7","34.2","2021-05-15 14:18","25.8","2021-05-15 05:02","...","73","44","2021-05-15 10:39","0.5","271","4.8","285","2021-05-15 16:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","997.2","...","998.6","2021-05-16 08:19","995.6","2021-05-16 15:28","30.6","35.1","2021-05-16 11:58","26.5","2021-05-16 05:12","...","67","44","2021-05-16 11:10","0.7","109","6.3","266","2021-05-16 14:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","998.2","...","999.7","2021-05-17 08:56","996.7","2021-05-17 02:18","30.0","34.3","2021-05-17 14:50","26.2","2021-05-17 05:12","...","66","47","2021-05-17 10:01","0.8","119","5.8","252","2021-05-17 08:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","998.7","...","1000.1","2021-05-18 09:07","997.0","2021-05-18 15:44","28.6","31.8","2021-05-18 12:11","26.1","2021-05-18 05:36","...","75","59","2021-05-18 16:51","0.5","253","4.7","150","2021-05-18 16:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","997.3","...","998.9","2021-05-19 08:08","995.6","2021-05-19 16:08","28.9","33.5","2021-05-19 11:26","25.6","2021-05-19 05:12","...","75","55","2021-05-19 10:11","0.5","105","6.2","271","2021-05-19 13:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","996.9","...","998.2","2021-05-20 09:41","995.6","2021-05-20 13:52","29.8","35.2","2021-05-20 13:56","25.5","2021-05-20 05:11","...","65","40","2021-05-20 11:36","0.7","265","6.9","256","2021-05-20 12:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","996.7","...","997.9","2021-05-21 23:12","995.0","2021-05-21 16:04","29.9","34.8","2021-05-21 13:19","25.4","2021-05-21 23:52","...","68","44","2021-05-21 13:12","0.7","122","6.9","269","2021-05-21 13:00","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","996.3","...","998.0","2021-05-22 22:04","994.9","2021-05-22 14:03","28.6","33.7","2021-05-22 13:23","25.6","2021-05-22 00:11","...","76","49","2021-05-22 14:15","0.5","267","7.3","284","2021-05-22 15:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","997.1","...","998.4","2021-05-23 22:47","995.6","2021-05-23 16:16","29.6","34.5","2021-05-23 12:09","25.7","2021-05-23 03:51","...","71","50","2021-05-23 15:49","0.4","265","4.9","236","2021-05-23 13:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","998.6","...","1001.4","2021-05-24 21:31","996.9","2021-05-24 01:29","28.8","35.0","2021-05-24 11:38","23.8","2021-05-24 23:32","...","75","51","2021-05-24 13:33","0.8","115","6.1","127","2021-05-24 21:37","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","999.4","...","1001.7","2021-05-25 09:25","997.6","2021-05-25 16:28","27.0","33.9","2021-05-25 14:18","23.5","2021-05-25 05:11","...","77","51","2021-05-25 14:24","1.1","122","5.7","135","2021-05-25 19:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","997.3","...","999.4","2021-05-26 08:14","995.2","2021-05-26 16:43","28.9","33.0","2021-05-26 15:14","24.3","2021-05-26 04:41","...","70","50","2021-05-26 17:01","0.5","264","6.1","288","2021-05-26 13:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","996.5","...","998.7","2021-05-27 21:53","995.3","2021-05-27 03:23","30.4","36.3","2021-05-27 10:44","26.5","2021-05-27 04:52","...","64","36","2021-05-27 10:21","0.7","272","7.1","270","2021-05-27 17:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","996.3","...","998.6","2021-05-28 21:31","993.7","2021-05-28 15:08","30.1","36.9","2021-05-28 12:15","25.5","2021-05-28 23:32","...","70","40","2021-05-28 12:15","0.7","266","9.6","247","2021-05-28 11:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","995.0","...","996.8","2021-05-29 00:10","992.6","2021-05-29 16:13","26.2","28.7","2021-05-29 08:10","23.5","2021-05-29 10:11","...","88","75","2021-05-29 07:35","0.8","119","5.7","134","2021-05-29 11:20","18.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","993.2","...","995.1","2021-05-30 21:53","991.6","2021-05-30 15:10","25.2","28.1","2021-05-30 10:17","23.6","2021-05-30 21:56","...","94","74","2021-05-30 09:22","0.2","122","3.1","266","2021-05-30 13:21","35.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","994.7","...","996.1","2021-05-31 21:56","992.5","2021-05-31 00:09","23.6","25.6","2021-05-31 10:42","22.0","2021-05-31 13:32","...","97","79","2021-05-31 10:43","0.9","118","4.8","130","2021-05-31 10:43","65.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
